Bench;SpeedUp
;ip_stride_no;ipcp_isca2020_no;mlop_dpc3_no;vberti_no;
602.gcc_s-1850B.champsimtrace.xz;1.0;1.0617399806417698;1.063695456711754;1.0645036873989713;
602.gcc_s-2226B.champsimtrace.xz;1.0;1.4415567005079821;1.4790683855446132;1.4579302448603955;
602.gcc_s-734B.champsimtrace.xz;1.0;1.0211857993135;1.0227213913586939;1.024393697481043;
603.bwaves_s-1740B.champsimtrace.xz;1.0;1.0745531031908013;1.0725317156732819;1.0787093234436604;
603.bwaves_s-2609B.champsimtrace.xz;1.0;1.0749612397503252;1.072568058665946;1.078942997933818;
603.bwaves_s-2931B.champsimtrace.xz;1.0;1.578004529778956;1.5729539051587396;1.5854883980313084;
603.bwaves_s-891B.champsimtrace.xz;1.0;1.0339623057544638;1.0288122839802212;1.0417776050538292;
605.mcf_s-1152B.champsimtrace.xz;1.0;0.9238823728167764;0.8636561335149767;1.0549027501698414;
605.mcf_s-1536B.champsimtrace.xz;1.0;1.003886543127422;0.908817170219269;0.9731979457921567;
605.mcf_s-1554B.champsimtrace.xz;1.0;1.1427418177701913;1.2663681832128377;1.9022690104469206;
605.mcf_s-1644B.champsimtrace.xz;1.0;0.977132289358909;0.9979107887876895;1.0086976829322176;
605.mcf_s-472B.champsimtrace.xz;1.0;1.1753225385514416;1.2463604488874263;1.4531397156441126;
605.mcf_s-484B.champsimtrace.xz;1.0;1.1897974952982169;1.2827076438599816;1.3621378898106165;
605.mcf_s-665B.champsimtrace.xz;1.0;0.9698064849538736;0.9045449149050582;1.023587046852849;
605.mcf_s-782B.champsimtrace.xz;1.0;0.8402627185323072;0.7814293116352261;1.0985098543437795;
605.mcf_s-994B.champsimtrace.xz;1.0;0.9408243075784154;0.9604060382702738;0.9946086872555805;
607.cactuBSSN_s-2421B.champsimtrace.xz;1.0;1.1381034287938327;1.233060050973647;1.0000828635638865;
607.cactuBSSN_s-3477B.champsimtrace.xz;1.0;1.0328158051049716;1.0866128703949491;1.002475945829162;
607.cactuBSSN_s-4004B.champsimtrace.xz;1.0;1.0402624421031916;1.092147587955121;1.0025478109910808;
619.lbm_s-2676B.champsimtrace.xz;1.0;1.2253981914767607;1.2078287375572192;1.210767475369329;
619.lbm_s-2677B.champsimtrace.xz;1.0;1.1151666752949703;1.0938704530800691;1.1239863704177824;
619.lbm_s-3766B.champsimtrace.xz;1.0;1.1461697531545156;1.1254966694813777;1.1496918192193288;
619.lbm_s-4268B.champsimtrace.xz;1.0;1.116584770651747;1.0956622699778196;1.1252394216990547;
620.omnetpp_s-141B.champsimtrace.xz;1.0;0.9954812932636237;1.0047714705086759;1.0002660671287364;
620.omnetpp_s-874B.champsimtrace.xz;1.0;0.9992951699921828;1.0069927680169501;1.000414354610656;
621.wrf_s-6673B.champsimtrace.xz;1.0;1.0280784300136872;1.0406950986191583;1.027134190862537;
621.wrf_s-8065B.champsimtrace.xz;1.0;1.0463554077339592;1.0670293932368047;1.0483309933539824;
623.xalancbmk_s-10B.champsimtrace.xz;1.0;1.0235433877165934;1.02176864486734;1.008235151989323;
623.xalancbmk_s-165B.champsimtrace.xz;1.0;1.0944559829449445;1.0880228699601973;1.0942986208334946;
623.xalancbmk_s-202B.champsimtrace.xz;1.0;1.2231310133691489;1.1511461759730635;1.1826335105342032;
623.xalancbmk_s-325B.champsimtrace.xz;1.0;1.0064132124537073;0.9996600854778057;0.999928689261078;
623.xalancbmk_s-592B.champsimtrace.xz;1.0;0.9948283736781083;0.9716450596681071;0.9998219911229783;
623.xalancbmk_s-700B.champsimtrace.xz;1.0;0.9968984659771506;0.9846468913819085;0.9999046870773709;
627.cam4_s-490B.champsimtrace.xz;1.0;1.0115313583880121;0.9743383596478895;1.0093037096085098;
628.pop2_s-17B.champsimtrace.xz;1.0;1.0104782264548418;1.0074666400742924;1.0043291554220397;
649.fotonik3d_s-10881B.champsimtrace.xz;1.0;1.433578649521102;1.2858929907762884;1.4993158600900673;
649.fotonik3d_s-1176B.champsimtrace.xz;1.0;1.0005241803180296;0.9999689893323304;1.0038453227910402;
649.fotonik3d_s-7084B.champsimtrace.xz;1.0;1.677691967962567;1.650681486053963;1.6877168810396306;
649.fotonik3d_s-8225B.champsimtrace.xz;1.0;1.0004641457417631;0.999814941891754;1.0038652136770947;
654.roms_s-1070B.champsimtrace.xz;1.0;1.0251469256517707;1.0231756960713505;1.0228249565241834;
654.roms_s-1390B.champsimtrace.xz;1.0;1.4076806455848823;1.4344685981687737;1.453860360890408;
654.roms_s-293B.champsimtrace.xz;1.0;0.9997568258970692;1.0066240625638332;1.0099993191125118;
654.roms_s-294B.champsimtrace.xz;1.0;0.9984605106457142;1.01216099766656;1.0119673512069014;
654.roms_s-523B.champsimtrace.xz;1.0;1.0410174186052599;1.0390134881249196;1.062988963020029;
